読み	方言	標準語	標準語の読み	地域
あずましい	あずましい	【心地よい・落ち着く】	ここちよい	青森・北海道
おしょうしな	おしょうしな	【ありがとう】	ありがとう	山形
おどげでねぇ	おどげでねえ	【大変だ・途方もない】	たいへんだ	宮城
け	け	【食べて・おいで】	たべて	東北
く	く	【食べる】	たべる	東北
だだちゃ	だだちゃ	【お父さん・親父】	おとうさん	山形
なして	なして	【どうして・なぜ】	どうして	東北
こわい	こわい	【疲れた・だるい】	つかれた	北海道・東北
けっぱれ	けっぱれ	【がんばれ】	がんばれ	青森・北海道
もちょこちょい	もちょこちょい	【くすぐったい】	くすぐったい	宮城・岩手
ちょす	ちょす	【いじる・からかう】	いじる	東北
めんこい	めんこい	【かわいい】	かわいい	北海道・東北
うるかす	うるかす	【水に浸す】	みずにひたす	北海道・東北
ばくる	ばくる	【交換する】	こうかんする	北海道
なげる	なげる	【捨てる】	すてる	北海道・東北
ごんぼほる	ごんぼほる	【だだをこねる】	だだをこねる	青森
いったぎゃあ	言ったぎゃあ	【言いましたよ・言ったよ】	いいましたよ・いったよ	愛知（尾張）
いったがや	言ったがや	【言いましたよ・言ったよ】	いいましたよ・いったよ	愛知（尾張）
いったがね	言ったがね	【言いましたよ・言ったよ】	いいましたよ・いったよ	愛知（尾張）
いったじゃん	言ったじゃん	【言いましたよ・言ったよ】	いいましたよ・いったよ	愛知（三河）
そうだぎゃあ	そうだぎゃあ	【そうでしょう・そうだろう】	そうでしょう・そうだろう	愛知（尾張）
そうだがや	そうだがや	【そうでしょう・そうだろう】	そうでしょう・そうだろう	愛知（尾張）
そうだがね	そうだがね	【そうでしょう・そうだろう】	そうでしょう・そうだろう	愛知（尾張）
ほだらあ	ほだらあ	【そうでしょう・そうだろう】	そうでしょう・そうだろう	愛知（三河）
たべやあ	食べやあ	【食べなさい】	たべなさい	愛知（尾張）
たべりん	食べりん	【食べなさい】	たべなさい	愛知（三河）
はよいこまい	はよいこまい	【早く行きましょう・行こう】	はやくいきましょう・いこう	愛知（尾張・三河）
まわしする	まわし（を）する	【準備（を）する】	じゅんびする	愛知（尾張）
つくえをつる	机をつる	【机を運ぶ】	つくえをはこぶ	愛知（尾張・三河）
かぎをかう	鍵をかう	【鍵をかける】	かぎをかける	愛知（尾張・三河）
ほかる	（ごみを）ほかる	【（ごみを）捨てる】	すてる	愛知（尾張・三河）
みえる	（お客さんが）みえる	【いらっしゃる】	いらっしゃる	愛知（尾張・三河）
えらい	（体が）えらい	【疲れた】	つかれた	愛知（尾張・三河）
いかん	いかん	【だめだ】	だめだ	愛知（尾張・三河）
やらないかん	やらないかん	【やらなければならない】	やらなければならない	愛知（尾張・三河）
やらんといかん	やらんといかん	【やらなければならない】	やらなければならない	愛知（尾張・三河）
どえらい	どえらい〜	【大変〜・とても〜・すごく〜】	たいへん・とても・すごく	愛知（尾張）
どえりゃあ	どえりゃあ〜	【大変〜・とても〜・すごく〜】	たいへん・とても・すごく	愛知（尾張）
でえらあ	でえら〜	【大変〜・とても〜・すごく〜】	たいへん・とても・すごく	愛知（尾張）
ほんだで	ほんだで、〜	【だから、〜】	だから	愛知（尾張）
ほいだで	ほいだで、〜	【だから、〜】	だから	愛知（三河）
だもんで	だもんで〜	【だから、〜】	だから	愛知（三河）
たわけ	たわけ	【ばか】	ばか	愛知（尾張・三河）
たあけ	たあけ	【ばか】	ばか	愛知（尾張・三河）
あおぢ	あおぢ	【青あざ】	あおあざ	愛知（名古屋）
あかる	あかる	【こぼれる】	こぼれる	愛知（名古屋）
あったさん	あったさん	【熱田神宮】	あつたじんぐう	愛知（名古屋）
あっちゃこっちゃ	あっちゃこっちゃ	【反対・あべこべ】	はんたい・あべこべ	愛知（名古屋）
あまたらこい	あまたらこい	【甘すぎる】	あますぎる	愛知（名古屋）
あらすか	あらすか	【〜ない】	ない	愛知（名古屋）
あんき	あんき	【安心】	あんしん	愛知（名古屋）
あんた	あんた	【あなた】	あなた	愛知（名古屋）
あんばよう	あんばよう	【具合良く・うまく】	ぐあいよく・うまく	愛知（名古屋）
いい	いい	【しやすい】	しやすい	愛知（名古屋）
いかん	いかん	【だめ】	だめ	愛知（名古屋）
いざらかす	いざらかす	【動かす】	うごかす	愛知（名古屋）
いっつか	いっつか	【とっくに】	とっくに	愛知（名古屋）
いりゃあす	いりゃあす	【いらっしゃる】	いらっしゃる	愛知（名古屋）
いんちゃん	いんちゃん	【じゃんけん】	じゃんけん	愛知（名古屋）
ええて	ええて	【いいです】	いいです	愛知（名古屋）
えか	えか	【いいかい】	いいかい	愛知（名古屋）
えらい	えらい	【疲れる・しんどい】	つかれる・しんどい	愛知（名古屋）
おうじょうこく	おうじょうこく	【困る・苦労する】	こまる・くろうする	愛知（名古屋）
おうちゃく	おうちゃく	【なまける】	なまける	愛知（名古屋）
おそがい	おそがい	【恐ろしい】	おそろしい	愛知（名古屋）
おっさま	おっさま	【お坊さん】	おぼうさん	愛知（名古屋）
おぼこい	おぼこい	【子供っぽい・幼い】	こどもっぽい・おさない	愛知（名古屋）
おぼわる	おぼわる	【習得する】	しゅうとくする	愛知（名古屋）
かう	かう	【（鍵を）かける】	かける	愛知（名古屋）
かしゃん	かしゃん	【だろうか】	だろうか	愛知（名古屋）
かしらん	かしらん	【だろうか】	だろうか	愛知（名古屋）
かす	かす	【研ぐ】	とぐ	愛知（名古屋）
かまう	かまう	【面倒みる・いじめる】	めんどうみる・いじめる	愛知（名古屋）
かや	かや	【ですか】	ですか	愛知（名古屋）
がや	がや	【驚きを示す】	おどろきをしめす	愛知（名古屋）
がね	がね	【驚きを示す】	おどろきをしめす	愛知（名古屋）
からかす	からかす	【しほうだい・しまくる】	しほうだい・しまくる	愛知（名古屋）
かわす	かわす	【物が動かないように隙間に挟む】	ものがうごかないようにすきまにはさむ	愛知（名古屋）
かん	かん	【だめ】	だめ	愛知（名古屋）
かんかん	かんかん	【空き缶】	あきかん	愛知（名古屋）
かんこうする	かんこうする	【考える・工夫する】	かんがえる・くふうする	愛知（名古屋）
きいない	きいない	【黄色い】	きいろい	愛知（名古屋）
きちきち	きちきち	【窮屈】	きゅうくつ	愛知（名古屋）
きない	きない	【黄色い】	きいろい	愛知（名古屋）
くくる	くくる	【縛る】	しばる	愛知（名古屋）
くすねる	くすねる	【盗む】	ぬすむ	愛知（名古屋）
（かに）くわれる	（蚊に）くわれる	【（蚊に）刺される】	かにさされる	愛知（名古屋）
ケッタ	ケッタ	【自転車】	じてんしゃ	愛知（名古屋）
げな	げな	【そうだ】	そうだ	愛知（名古屋）
けなるい	けなるい	【うらやましい】	うらやましい	愛知（名古屋）
こく	こく	【言う・する】	いう・する	愛知（名古屋）
ござる	ござる	【いらっしゃる】	いらっしゃる	愛知（名古屋）
こそばい	こそばい	【くすぐったい】	くすぐったい	愛知（名古屋）
こっすい	こっすい	【ずるい】	ずるい	愛知（名古屋）
ごぶれいします	ごぶれいします	【失礼します】	しつれいします	愛知（名古屋）
こわい	こわい	【固い】	かたい	愛知（名古屋）
こわける	こわける	【壊れる】	こわれる	愛知（名古屋）
こわす	こわす	【崩す】	くずす	愛知（名古屋）
さぶい	さぶい	【寒い】	さむい	愛知（名古屋）
さむぼろ	さむぼろ	【鳥肌】	とりはだ	愛知（名古屋）
ざらいた	ざら板	【すのこ】	すのこ	愛知（名古屋）
したる	したる	【してある・してあげる】	してある・してあげる	愛知（名古屋）
してちょう	してちょう	【〜してください】	してください	愛知（名古屋）
してまう	してまう	【してもらう・してしまう】	してもらう・してしまう	愛知（名古屋）
しとる	しとる	【している】	している	愛知（名古屋）
しやあす	しやあす	【なさる】	なさる	愛知（名古屋）
しゃこう	車校	【自動車学校】	じどうしゃがっこう	愛知（名古屋）
ずっこい	ずっこい	【ずるい】	ずるい	愛知（名古屋）
せる	せる	【なさる】	なさる	愛知（名古屋）
せん	せん	【〜しない】	しない	愛知（名古屋）
だあだあぶり	だあだあ振り	【ひどい雨降り】	ひどいあめふり	愛知（名古屋）
たいがい	たいがい	【いいかげん・程々】	いいかげん・ほどほど	愛知（名古屋）
だだくさ	だだくさ	【雑に・無駄に】	ざつに・むだに	愛知（名古屋）
だちかん	だちかん	【だめ・役に立たない】	だめ・やくにたたない	愛知（名古屋）
だで	だで	【だから・なので】	だから・なので	愛知（名古屋）
だない	だない	【ではない】	ではない	愛知（名古屋）
だもんで	だもんで	【だから・なので】	だから・なので	愛知（名古屋）
たわけ	たわけ	【ばか・あほ】	ばか・あほ	愛知（名古屋）
たわけらしい	たわけらしい	【ばかばかしい・無意味な】	ばかばかしい・むいみな	愛知（名古屋）
たんび	たんび	【〜の度に】	〜のたびに	愛知（名古屋）
ちいと	ちいと	【ちょっと】	ちょっと	愛知（名古屋）
ちゃっと	ちゃっと	【すぐに・急いで】	すぐに・いそいで	愛知（名古屋）
ちょうす	ちょうす	【下さる】	くださる	愛知（名古屋）
ちょうすいとる	ちょうすいとる	【威張る・調子に乗っている】	いばる・ちょうしにのっている	愛知（名古屋）
ちょうらかす	ちょうらかす	【ごまかす】	ごまかす	愛知（名古屋）
ちんちん	ちんちん	【熱い】	あつい	愛知（名古屋）
つかいさし	つかいさし	【残り】	のこり	愛知（名古屋）
つくねる	つくねる	【無造作に積み上げられた状態】	むぞうさにつみあげられたじょうたい	愛知（名古屋）
つっと	つっと	【すぐに・すんなりと・簡単に】	すぐに・すんなりと・かんたんに	愛知（名古屋）
つる	つる	【運ぶ】	はこぶ	愛知（名古屋）
つれ	連れ	【仲間・身内】	なかま・みうち	愛知（名古屋）
